id,name,tagline,votes,url
1,Mental,How Men Strengthen Their Mindset,5 reviews,
2,mentalport-app: AI Mental Health Coach,"Personal systemic AI coach, everyday companion & health hub",3 reviews,
3,Yuna AI — Your Mental Health Coach,A safe place for self-discovery,1 review,
4,Ash,The first AI designed for therapy,2 reviews,
5,todai,Your first personalized happy lifestyle index,3 reviews,
6,TherapyAI,AI Therapist for stress and anxiety,5 reviews,
7,MYND,24/7 AI Bestie For Your Mental Wellness,0 reviews,
8,Soula Care,"AI-powered assistant for pregnancy, birth and postpartum",14 reviews,
9,Guin - Your GoodMind Buddy,It's all about YOU!,0 reviews,
10,MoodGallery: Emotions to art,Turn your moods into personalized AI artwork,1 review,
